Critic Ratings for years 2000 to 2009 processed,,,,,
,,,,,
Film ID,Film Title,Year (NA),Metacritic,Rotten Tomatoes/4,VideoHound Score (0-4)
2894,10000 B.C.,2008,1.4,1.3,1
2425,102 Dalmatians,2000,1.4,1.8,1.5
2686,12,2009,0,2.7,2
3090,12 Rounds,2009,1.5,1.8,2
556,13 Going on 30,2004,2.3,2.5,2.5
2688,1408,2007,2.6,2.6,2.5
1,15 Minutes,2001,1.4,1.8,2.5
959,16 Blocks,2006,2.5,2.4,3
3091,17 Again,2009,1.9,2.2,1.5
375,2 Fast 2 Furious,2003,1.5,1.9,2
3088,2012,2009,2,2,1
2893,21,2008,1.9,2.1,1.5
376,21 Grams,2003,2.8,3,3.5
173,24 Hour Party People,2002,3.4,2.9,2
174,25th Hour,2002,2.7,2.9,2.5
2895,27 Dresses,2008,1.9,2,1.5
2426,28 Days,2000,1.8,1.9,2.5
377,28 Days Later,2003,2.9,2.9,2.5
2689,28 Weeks Later,2007,3.1,2.6,2.5
2427,3 Strikes,2000,0.4,0.9,0
2691,30 Days of Night,2007,2.1,2.2,2.5
2687,300,2007,2,2.4,2
2,3000 Miles to Graceland,2001,0.8,1.4,1.5
2690,3:10 to Yuma,2007,3,3,3.5
175,40 Days and 40 Nights,2002,2.1,1.9,2.5
557,50 First Dates,2004,1.9,2.2,2.5
3089,500 Days of Summer,2009,3,3,2.5
176,8 Mile,2002,3.1,2.7,3
2896,88 Minutes,2008,0.7,1,1.5
3,A Beautiful Mind,2001,2.9,2.8,3.5
2897,A Christmas Tale,2008,3.4,3,3
558,A Cinderella Story,2004,1,1.4,1
960,A Good Year,2006,1.9,1.9,2
378,A Guy Thing,2003,1.1,1.6,2
732,A History of Violence,2005,3.2,3.2,3
2619,A Home at the End of the World,2004,2.4,2.3,2.5
4,A Knight's Tale,2001,2.2,2.3,2.5
733,A Lot Like Love,2005,1.9,2,1
954,A Love Song for Bobby Long,2004,1.9,2.2,2
379,A Man Apart,2003,1.4,1.6,2
2692,A Mighty Heart,2007,3,2.8,3
380,A Mighty Wind,2003,3.2,3,3
3093,A Perfect Getaway,2009,2.5,2.3,2
961,A Prairie Home Companion,2006,3,2.8,2.5
962,A Scanner Darkly,2006,2.9,2.6,2.5
3094,A Serious Man,2009,3.2,3.2,3
3095,A Single Man,2009,3.1,2.9,3
734,A Sound of Thunder,2005,1,1.2,1
2610,A Tale of Two Sisters,2004,2.6,2.8,3
559,A Very Long Engagement,2004,3,3,3
177,A Walk to Remember,2002,1.4,1.6,2
178,Abandon,2002,1.4,1.7,2.5
179,About a Boy,2002,3,3.1,3
5,About Adam,2001,2.6,2.4,2
180,About Schmidt,2002,3.4,3.1,3.5
963,Accepted,2006,1.9,2,1.5
2693,Across the Universe,2007,2.2,2.3,2
3096,Adam,2009,2.2,2.4,2.5
181,Adaptation,2002,3.3,3.3,3.5
3097,Adventureland,2009,3,2.9,3
735,Aeon Flux,2005,1.4,1.3,2.5
560,After the Sunset,2004,1.5,1.8,2
561,Against the Ropes,2004,1.4,1.7,2
381,Agent Cody Banks,2003,1.6,2,2.5
562,Agent Cody Banks 2: Destination London,2004,1.3,1.4,2
964,Akeelah and the Bee,2006,2.9,2.8,2.5
382,Alex & Emma,2003,1.3,1.5,1.5
563,Alexander,2004,1.6,1.6,2
564,Alfie,2004,2,2.2,2.5
6,Ali,2001,2.6,2.5,2.5
3098,Aliens in the Attic,2009,1.7,1.8,1.5
3099,All About Steve,2009,0.7,1,1
182,All About the Benjamins,2002,1.4,1.7,2
183,All or Nothing,2002,2.9,2.8,2
965,All the King's Men,2006,1.5,1.7,1.5
2428,All the Pretty Horses,2000,2.2,2,2
2429,Almost Famous,2000,3.6,3.1,3
736,Alone in the Dark,2005,0.4,0.7,0
7,Along Came a Spider,2001,1.7,1.8,2
566,Along Came Polly,2004,1.8,1.9,2
2694,Alpha Dog,2007,2.1,2.2,2
2695,Alvin and the Chipmunks,2007,1.6,1.8,2.5
3100,Alvin and the Chipmunks: The Squeakquel,2009,1.6,1.6,1.5
2661,Amazing Grace,2007,2.6,2.6,3
3101,Amelia,2009,1.5,1.8,2.5
8,Am_lie,2001,2.8,3.2,3.5
2611,America's Heart and Soul,2004,2.2,2.3,2
9,America's Sweethearts,2001,1.8,1.8,2
966,American Dreamz,2006,1.8,2.1,2
2696,American Gangster,2007,3,2.8,3
10,American Outlaws,2001,1,1.4,1
11,American Pie 2,2001,1.7,2.2,2.5
2430,American Psycho,2000,2.6,2.5,2
383,American Splendor,2003,3.6,3.3,3.5
2898,American Teen,2008,0,2.6,2.5
384,American Wedding,2003,1.7,2.3,2.5
3102,Amreeka,2009,2.9,2.7,3
967,An American Haunting,2006,1.5,1.4,1.5
2572,An American Rhapsody,2001,2,2.2,3
3103,An Education,2009,3.4,3.1,3
968,An Inconvenient Truth,2006,3,3.1,3.5
737,An Unfinished Life,2005,2,2.4,2.5
567,Anacondas: The Hunt for the Blood Orchid,2004,1.6,1.7,2
184,Analyze That,2002,1.5,1.9,1.5
568,Anchorman: The Legend of Ron Burgundy,2004,2.5,2.5,2.5
385,And Now... Ladies and Gentlemen...,2003,2.2,2.2,2
12,Angel Eyes,2001,1.6,1.9,2.5
386,Anger Management,2003,2.1,2,2
969,Annapolis,2006,1.5,1.6,1.5
13,Antitrust,2001,1.2,1.6,1.5
185,Antwone Fisher,2002,2.5,2.8,3
387,Anything Else,2003,1.7,2.1,1.5
970,Apocalypto,2006,2.7,2.5,3
2900,Appaloosa,2008,2.6,2.6,3
738,Après vous...,2005,2.1,2.4,2
971,Aquamarine,2006,2,2.2,2.5
2697,Arctic Tale,2007,2.6,2.3,2.5
2698,Are We Done Yet?,2007,1.4,1.3,1.5
739,Are We There Yet?,2005,1.1,1.3,1
3105,Armored,2009,2,1.9,2.5
569,Around the Bend,2004,1.8,2,2
570,Around the World in 80 Days,2004,2,1.9,2
972,Art School Confidential,2006,2.2,2.2,2
973,Arthur and the Invisibles,2006,1.6,1.8,1
14,Artificial Intelligence: AI,2001,2.6,2.6,2
974,Ask the Dust,2006,2.3,2,2
388,Assassination Tango,2003,2,2.2,3
740,Assault on Precinct 13,2005,2.2,2.4,2.5
3106,Astro Boy,2009,2.1,2.2,2.5
975,ATL,2006,2.5,2.4,2
15,Atlantis: The Lost Empire,2001,2.1,2.2,2.5
2699,Atonement,2007,3.4,3,3
2700,August Rush,2007,1.5,1.9,2
186,Austin Powers in Goldmember,2002,2.5,2.3,2.5
2901,Australia,2008,2.1,2.4,2.5
187,Auto Focus,2002,2.6,2.7,3
2431,Autumn in New York,2000,1,1.6,1.5
3107,Avatar,2009,3.3,3,3
565,AVP: Alien vs. Predator,2004,1.2,1.6,1
